nb_loan_number,nb_original_balance,nb_original_fico,nb_debt_ratio,nb_original_rate,nb_original_ltv,nb_original_cltv,nb_unit_count,nb_original_term,nb_io_term,nb_origination_date,nb_maturity_date,nb_purpose_code,nb_occupancy_code,nb_documentation_type_code,nb_property_type_code,nb_property_zip_code
181,147200,648,NULL,NULL,73.42,87.18,1,360,NULL,11/24/04,12/1/34,Purchase,Owner,LimitedDocs,SingleFamily,33980
182,124480,650,NULL,NULL,80,100,1,360,NULL,11/29/04,12/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,33971
183,102400,612,NULL,NULL,80,100,1,360,NULL,11/16/04,12/1/34,Purchase,Owner,AllDocs,SingleFamily,33637
184,144000,568,NULL,NULL,80,0,1,360,NULL,12/6/04,1/1/35,RefiWithCash,Owner,LimitedDocs,SingleFamily,34293
185,157250,568,NULL,NULL,85,0,1,360,NULL,11/24/04,12/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,33435
186,300000,619,NULL,NULL,60,0,1,360,NULL,11/8/04,12/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,33629
187,198455,617,NULL,NULL,95,0,1,360,NULL,11/30/04,12/1/34,Purchase,Owner,AllDocs,SingleFamily,34235
188,225000,636,NULL,NULL,86.54,0,1,360,NULL,11/23/04,12/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,34117
189,81250,513,NULL,NULL,72.54,0,1,360,NULL,11/30/04,12/1/34,RefiWithCash,Owner,AllDocs,Condo,34212
190,132000,555,NULL,NULL,75.43,0,1,360,NULL,11/16/04,12/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,33990
191,253600,533,NULL,NULL,80,0,1,360,NULL,11/24/04,12/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,33328
192,200000,599,NULL,NULL,51.28,0,1,360,NULL,11/30/04,12/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,33548
193,124000,651,NULL,NULL,80,100,1,360,NULL,11/30/04,12/1/34,Purchase,Owner,AllDocs,SingleFamily,32117
194,150400,686,NULL,NULL,80,98.09,1,360,60,11/30/04,12/1/34,RefiWithCash,Owner,AllDocs,PUD,32218
195,189905,626,NULL,NULL,95,0,1,360,NULL,11/30/04,12/1/34,Purchase,Owner,AllDocs,Condo,34203
